energy_eV,pdf
0.663720,0.025802
1.991160,0.040755
3.318601,0.047535
4.646041,0.047535
5.973481,0.048514
7.300921,0.044522
8.628362,0.044220
9.955802,0.040868
11.283242,0.037742
12.610682,0.036273
13.938123,0.032845
15.265563,0.029870
16.593003,0.028401
17.920443,0.023805
19.247884,0.024144
20.575324,0.020528
21.902764,0.018193
23.230204,0.017138
24.557645,0.013861
25.885085,0.014012
27.212525,0.012882
28.539965,0.011074
29.867406,0.010434
31.194846,0.009417
32.522286,0.007533
33.849726,0.007307
35.177167,0.007345
36.504607,0.006140
37.832047,0.004821
39.159488,0.004482
40.486928,0.003993
41.814368,0.003541
43.141808,0.003164
44.469249,0.002750
45.796689,0.003126
47.124129,0.002335
48.451569,0.002147
49.779010,0.001657
51.106450,0.001168
52.433890,0.001846
53.761330,0.001394
55.088771,0.000829
56.416211,0.000904
57.743651,0.000565
59.071091,0.000678
60.398532,0.000527
61.725972,0.000716
63.053412,0.000377
64.380852,0.000414
65.708293,0.000301
67.035733,0.000339
68.363173,0.000264
69.690613,0.000113
71.018054,0.000264
72.345494,0.000188
73.672934,0.000339
75.000374,0.000226
76.327815,0.000188
77.655255,0.000038
78.982695,0.000000
80.310135,0.000038
81.637576,0.000075
82.965016,0.000151
84.292456,0.000000
85.619896,0.000151
86.947337,0.000075
88.274777,0.000000
89.602217,0.000038
90.929657,0.000000
92.257098,0.000038
93.584538,0.000000
94.911978,0.000038
96.239418,0.000038
97.566859,0.000000
98.894299,0.000113
100.221739,0.000038
101.549179,0.000000
102.876620,0.000000
104.204060,0.000038
105.531500,0.000000
106.858940,0.000000
108.186381,0.000000
109.513821,0.000000
110.841261,0.000000
112.168702,0.000000
113.496142,0.000000
114.823582,0.000000
116.151022,0.000000
117.478463,0.000038
118.805903,0.000000
120.133343,0.000000
121.460783,0.000000
122.788224,0.000000
124.115664,0.000000
125.443104,0.000000
126.770544,0.000000
128.097985,0.000000
129.425425,0.000038
130.752865,0.000000
132.080305,0.000038
