time_s,vx_mean,vy_mean,vz_mean
0.00000000,-5.70319348,-12.12122213,-17.66334482
0.00000001,-227.40428876,-16.16413722,4727.92550900
0.00000002,-884.71890399,-17.80126653,9316.07446718
0.00000003,-1950.36892588,-31.80979849,13679.25687069
0.00000004,-3384.96950908,-43.37994041,17765.08138214
0.00000005,-5150.54048800,-46.14394097,21544.01861351
0.00000006,-7206.22327726,-58.64912827,25025.31909513
0.00000007,-9419.78655069,-27.57632434,28128.33870820
0.00000008,-11793.78299028,-32.85432289,30681.41504229
0.00000009,-14323.40519227,-30.54037109,32922.15255314
0.00000010,-16847.02711093,-31.07818735,34711.31192363
0.00000011,-19432.77344700,13.34921691,36086.81376648
0.00000012,-21908.51257925,68.59697752,37073.43398885
0.00000013,-24251.89360626,82.18980727,37717.85526766
0.00000014,-26504.35292207,65.49823801,38053.28803328
0.00000015,-28530.53761787,86.75428595,37984.32438542
0.00000016,-30461.78447438,116.82462011,37767.19285343
0.00000017,-32100.01024900,178.25297965,37373.76551803
0.00000018,-33503.47829584,218.30663407,36715.00380332
0.00000019,-34931.13816989,269.76142897,35963.53003087
0.00000020,-36084.44183958,247.19865722,35130.85533159
0.00000021,-36906.47975984,204.62578230,34201.06293461
0.00000022,-37418.16338625,62.61751538,33242.33614824
0.00000023,-37990.43777429,14.86561293,32358.20020568
0.00000024,-38357.61683216,61.23084165,31329.80347762
0.00000025,-38567.70029171,69.53194365,30391.09441409
0.00000026,-38532.39478551,47.27785546,29449.55629787
0.00000027,-38544.97127222,62.75118085,28463.26984052
0.00000028,-38541.22137276,107.69812212,27650.19038788
0.00000029,-38488.30783871,133.42732646,26924.11297856
0.00000030,-38264.85737101,146.74210975,26267.92659239
0.00000031,-38067.78060184,201.35323102,25695.62855834
0.00000032,-37846.13656572,266.43352463,25180.29542789
0.00000033,-37499.42319272,177.73820534,24725.28138527
0.00000034,-37225.79554316,222.75225161,24326.35954574
0.00000035,-36895.85706758,184.18470636,23969.96286519
0.00000036,-36602.91598469,177.00719110,23734.84189594
0.00000037,-36240.99978428,132.78018874,23516.77289871
0.00000038,-36071.04216511,88.62350534,23334.21389679
0.00000039,-35727.51698341,-53.38376470,23107.02111077
0.00000040,-35404.08541069,-8.53319076,23019.42567981
0.00000041,-35270.00886876,32.51928338,23059.52345593
0.00000042,-35288.28271749,-98.71005586,23115.30823139
0.00000043,-35126.15685334,-75.27890339,23050.98531448
0.00000044,-34967.15112412,-69.04399769,23066.01147337
0.00000045,-34763.84023342,1.59743583,23119.44077386
0.00000046,-34717.90884242,48.36483400,23163.24375081
0.00000047,-34695.98226222,111.99621930,23193.02664010
0.00000048,-34654.34909805,144.29407972,23262.96933917
0.00000049,-34575.01707997,141.01222062,23310.58549202
0.00000050,-34416.12039622,71.74581465,23342.19298645
0.00000051,-34402.52719192,105.06626958,23401.53456187
0.00000052,-34389.49460897,94.28791830,23427.24429691
0.00000053,-34328.28832779,48.72056987,23451.39403609
0.00000054,-34288.30396850,50.10164032,23554.01454307
0.00000055,-34243.10320719,-22.87781370,23664.10426898
0.00000056,-34338.39433851,-108.01880001,23760.90254080
0.00000057,-34356.54340799,-77.46014435,23797.05951254
0.00000058,-34287.17916529,-103.60407163,23759.92949181
0.00000059,-34353.29037531,-56.55618588,23893.83184244
0.00000060,-34376.72453397,-134.33545181,24018.96480371
0.00000061,-34508.20549720,-108.94928162,24062.91274675
0.00000062,-34392.36514420,-184.99250220,24093.08368870
0.00000063,-34453.97242478,-101.23058735,24131.83912062
0.00000064,-34488.10614027,-97.30355899,24100.31883717
0.00000065,-34562.66016855,-106.96600492,24116.35735884
0.00000066,-34480.85366590,0.12907411,24122.47194572
0.00000067,-34543.23455680,-10.03380264,24068.88949390
0.00000068,-34509.55369171,35.50361582,23975.36808151
0.00000069,-34578.96887586,28.41853987,23973.64521451
0.00000070,-34486.26019637,-37.89938708,24082.04898756
0.00000071,-34538.07290975,-21.72583213,24173.36393154
0.00000072,-34668.93725916,-76.05726127,24214.24064522
