energy_eV,pdf
0.436759,0.026388
1.310276,0.034974
2.183793,0.038465
3.057310,0.041155
3.930828,0.039782
4.804345,0.038809
5.677862,0.039667
6.551379,0.040926
7.424896,0.038179
8.298414,0.039438
9.171931,0.033314
10.045448,0.034859
10.918965,0.032913
11.792483,0.030795
12.666000,0.031024
13.539517,0.030738
14.413034,0.028563
15.286551,0.029650
16.160069,0.027761
17.033586,0.028391
17.907103,0.022209
18.780620,0.025186
19.654138,0.022896
20.527655,0.021808
21.401172,0.020549
22.274689,0.019290
23.148206,0.019805
24.021724,0.017744
24.895241,0.018145
25.768758,0.016714
26.642275,0.015569
27.515793,0.014997
28.389310,0.014253
29.262827,0.014024
30.136344,0.012364
31.009861,0.011677
31.883379,0.011562
32.756896,0.009616
33.630413,0.010990
34.503930,0.009330
35.377448,0.009158
36.250965,0.008700
37.124482,0.008529
37.997999,0.008529
38.871516,0.007041
39.745034,0.005552
40.618551,0.007269
41.492068,0.005438
42.365585,0.005152
43.239103,0.005781
44.112620,0.004579
44.986137,0.003492
45.859654,0.004179
46.733171,0.003835
47.606689,0.003606
48.480206,0.003549
49.353723,0.003549
50.227240,0.002232
51.100758,0.003205
51.974275,0.002690
52.847792,0.002061
53.721309,0.002404
54.594826,0.001774
55.468344,0.002175
56.341861,0.001202
57.215378,0.001259
58.088895,0.001660
58.962413,0.001202
59.835930,0.001145
60.709447,0.001030
61.582964,0.001088
62.456481,0.000801
63.329999,0.000687
64.203516,0.000343
65.077033,0.000286
65.950550,0.000458
66.824068,0.000687
67.697585,0.000172
68.571102,0.000630
69.444619,0.000458
70.318136,0.000229
71.191654,0.000229
72.065171,0.000229
72.938688,0.000172
73.812205,0.000401
74.685723,0.000286
75.559240,0.000114
76.432757,0.000229
77.306274,0.000286
78.179792,0.000057
79.053309,0.000000
79.926826,0.000172
80.800343,0.000000
81.673860,0.000114
82.547378,0.000000
83.420895,0.000000
84.294412,0.000057
85.167929,0.000057
86.041447,0.000000
86.914964,0.000057
