time_s,temperature_K
0.00000000,11655.36502567
0.00000001,11438.65857625
0.00000002,11252.93575854
0.00000003,11104.68484142
0.00000004,11075.49696880
0.00000005,11184.35393186
0.00000006,11503.01185094
0.00000007,12108.73815447
0.00000008,13154.69226717
0.00000009,14422.54306492
0.00000010,16119.25599369
0.00000011,18163.76244355
0.00000012,20602.55244519
0.00000013,23345.37222887
0.00000014,26282.00190226
0.00000015,29646.77483519
0.00000016,32896.47596943
0.00000017,36266.62889793
0.00000018,39756.96695373
0.00000019,43057.86682827
0.00000020,46204.40435005
0.00000021,49438.67845901
0.00000022,52436.47066186
0.00000023,55120.62626260
0.00000024,57589.02729081
0.00000025,59565.46324913
0.00000026,61418.37943695
0.00000027,63084.65648324
0.00000028,64418.52723964
0.00000029,65355.51269104
0.00000030,66079.09081276
0.00000031,66859.77820820
0.00000032,67396.64885223
0.00000033,67675.19646708
0.00000034,67867.02847787
0.00000035,67820.04757501
0.00000036,67760.15100016
0.00000037,67478.05778901
0.00000038,67044.55972739
0.00000039,66774.98383861
0.00000040,66374.38040293
0.00000041,65758.88802133
0.00000042,65531.09917070
0.00000043,65434.67147175
0.00000044,65093.69812726
0.00000045,64844.49091521
0.00000046,64574.31910799
0.00000047,64388.37804705
0.00000048,64000.51752847
0.00000049,63914.04354524
0.00000050,63600.77764467
0.00000051,63404.25982240
0.00000052,63175.38808843
0.00000053,63030.16330131
0.00000054,62798.19397381
0.00000055,62388.20513428
0.00000056,62205.38168697
0.00000057,62207.13597589
0.00000058,62118.62705567
0.00000059,61919.83188548
0.00000060,61609.02410495
0.00000061,61809.71514757
0.00000062,61899.05037482
0.00000063,61882.91738833
0.00000064,61867.47290657
0.00000065,61852.47509090
0.00000066,61687.28151954
0.00000067,61660.48900262
0.00000068,61674.48375391
0.00000069,61566.66959449
0.00000070,61361.46254565
0.00000071,61334.02268845
0.00000072,61222.06889653
0.00000073,61200.32110839
0.00000074,61188.35388138
0.00000075,61170.35353979
0.00000076,61098.84515149
0.00000077,61111.08802819
0.00000078,61102.99639778
0.00000079,61271.33546450
0.00000080,61262.89651413
0.00000081,61221.03998266
0.00000082,61275.90765668
0.00000083,61182.54798012
0.00000084,61336.24530696
0.00000085,61451.62789230
0.00000086,61574.26623446
0.00000087,61644.34587216
0.00000088,61570.53687132
0.00000089,61704.38138752
0.00000090,61724.29686290
0.00000091,61725.27762967
0.00000092,61999.82453530
0.00000093,61791.69356192
0.00000094,61727.44088976
0.00000095,61796.25814109
0.00000096,62030.76332609
0.00000097,62002.04596766
0.00000098,62010.01804850
0.00000099,62117.40419451
0.00000100,61993.39030421
0.00000101,61931.52497804
0.00000102,61968.82873137
0.00000103,61823.16680976
0.00000104,61838.18463567
0.00000105,62045.12121934
0.00000106,61868.40075601
0.00000107,61748.78185252
0.00000108,61652.57617027
0.00000109,61688.49523304
0.00000110,61759.54651018
0.00000111,61804.93312719
0.00000112,61636.24980382
0.00000113,61746.40716984
0.00000114,61909.22398849
0.00000115,61835.31238645
0.00000116,61625.00745770
0.00000117,61656.32662444
0.00000118,61642.44301325
0.00000119,61581.61678672
0.00000120,61490.21828020
0.00000121,61462.50334074
0.00000122,61443.01068775
0.00000123,61413.65240258
0.00000124,61566.39495184
0.00000125,61518.97175752
0.00000126,61446.71452368
0.00000127,61429.55648597
0.00000128,61377.03021916
0.00000129,61563.50786111
0.00000130,61597.61258208
0.00000131,61433.65078551
0.00000132,61383.41406868
0.00000133,61415.68713670
0.00000134,61484.77861034
0.00000135,61454.78046406
0.00000136,61357.06780489
0.00000137,61204.23578112
0.00000138,61232.34463518
0.00000139,61142.40223578
0.00000140,61091.18734068
0.00000141,61291.59741462
0.00000142,61312.64380903
0.00000143,61499.67531884
0.00000144,61481.72763890
0.00000145,61420.86553456
0.00000146,61462.91074383
0.00000147,61445.87354001
0.00000148,61490.62064437
0.00000149,61531.34876452
0.00000150,61576.26857380
0.00000151,61616.24319122
0.00000152,61690.46583984
0.00000153,61882.53338002
0.00000154,62032.78398820
0.00000155,61986.13263531
0.00000156,61926.15042843
0.00000157,61780.98917365
0.00000158,61778.76869460
0.00000159,61714.71203490
0.00000160,61638.17436224
0.00000161,61692.90812622
0.00000162,61427.32048765
0.00000163,61496.08837312
0.00000164,61523.29879288
0.00000165,61545.64782814
0.00000166,61657.45783044
0.00000167,61555.09191778
0.00000168,61473.43085094
0.00000169,61380.84149832
0.00000170,61532.35035669
0.00000171,61505.96281945
0.00000172,61522.23162554
0.00000173,61735.11173571
0.00000174,61674.10282113
0.00000175,61556.01133122
0.00000176,61625.54696171
0.00000177,61590.49380270
0.00000178,61628.90792007
0.00000179,61544.84942934
0.00000180,61385.72897799
0.00000181,61371.18404272
0.00000182,61331.87047862
0.00000183,61479.89970050
0.00000184,61513.78164168
0.00000185,61466.57304739
0.00000186,61438.99980331
0.00000187,61343.86251661
0.00000188,61435.49923969
0.00000189,61429.31058139
0.00000190,61537.58526169
0.00000191,61471.80887563
0.00000192,61399.01037696
0.00000193,61437.77474154
0.00000194,61547.83845759
0.00000195,61557.94236446
0.00000196,61680.24559413
0.00000197,61923.01199941
0.00000198,61855.67533490
0.00000199,61760.40801139
0.00000200,61704.60377023
