time_s,vx_mean,vy_mean,vz_mean
0.00000000,-5.70319348,-12.12122213,-17.66334482
0.00000001,2.85231811,-24.51725543,4710.89767426
0.00000002,26.95315608,-34.99895754,9333.27193513
0.00000003,27.38603655,-13.64262106,13849.72164046
0.00000004,18.29195988,-30.00053531,18214.14823741
0.00000005,35.19949497,-27.17493052,22390.80442358
0.00000006,34.22210152,-37.10076916,26405.96163865
0.00000007,28.48678014,-26.09498792,30224.35212644
0.00000008,51.67712946,1.81521672,33803.67650581
0.00000009,54.65977237,25.84972719,37134.05007560
0.00000010,59.32632312,104.06699441,40212.55789371
0.00000011,61.64611129,58.49266346,42913.49953665
0.00000012,52.09171230,81.69574704,45497.06947221
0.00000013,61.08578529,116.19287160,47581.09114689
0.00000014,78.14863385,87.69531277,49554.79738378
0.00000015,95.06142889,97.49853986,51298.61850271
0.00000016,56.40349538,112.41057319,52746.04161235
0.00000017,7.83726572,137.99596429,53755.86785494
0.00000018,33.46065285,222.21493278,54696.11257593
0.00000019,-2.64975896,153.63626484,55520.79405295
0.00000020,13.63952333,188.45183175,56108.67050834
0.00000021,-6.03468944,230.49241809,56559.87599568
0.00000022,-50.16746567,218.25952062,56942.64268080
0.00000023,-28.31368770,123.27075076,57302.04644044
0.00000024,-60.36782133,60.22201085,57721.55353318
0.00000025,101.99919780,58.98371118,57808.33063885
0.00000026,55.73229612,65.91476643,58111.62863947
0.00000027,99.84966213,76.71970088,58020.82623461
0.00000028,115.55697732,57.87881681,58098.25864333
0.00000029,227.08748341,107.32708810,58043.16335675
0.00000030,144.24838063,243.71906624,57932.20460168
0.00000031,289.95958051,222.78218826,57906.97814556
0.00000032,146.77042681,155.56015748,57705.39792214
0.00000033,107.33165082,100.46736069,57599.15561526
0.00000034,17.69445344,105.49032996,57464.38833839
0.00000035,10.58429146,70.62076601,57165.94596982
0.00000036,14.90463206,-129.63055904,57019.78524868
0.00000037,28.26477460,-133.53258488,57070.95849588
0.00000038,-115.42663407,-216.97781067,57113.71181000
0.00000039,-219.68675267,-118.79583018,57176.48544840
0.00000040,-155.09569391,-95.90483301,57273.15885577
0.00000041,-122.72271506,-109.77347075,57078.09148781
0.00000042,-79.80801389,-49.05260922,57093.34012124
0.00000043,-76.49970742,67.65465280,57066.39352874
0.00000044,-144.20992958,15.04080971,57039.52361957
0.00000045,-214.56928752,-55.52972725,56974.65906234
