energy_eV,pdf
1.550350,0.019125
4.651050,0.025720
7.751750,0.025188
10.852449,0.024817
13.953149,0.023446
17.053849,0.020334
20.154549,0.019560
23.255249,0.017351
26.355949,0.015400
29.456648,0.014432
32.557348,0.012610
35.658048,0.011046
38.758748,0.010030
41.859448,0.009143
44.960148,0.008224
48.060847,0.007369
51.161547,0.006547
54.262247,0.005692
57.362947,0.005289
60.463647,0.004289
63.564347,0.004096
66.665046,0.003886
69.765746,0.003419
72.866446,0.002870
75.967146,0.002370
79.067846,0.002338
82.168546,0.002209
85.269245,0.001484
88.369945,0.001564
91.470645,0.001129
94.571345,0.000887
97.672045,0.001355
100.772745,0.000839
103.873444,0.000951
106.974144,0.000839
110.074844,0.000710
113.175544,0.000548
116.276244,0.000532
119.376944,0.000532
122.477643,0.000435
125.578343,0.000435
128.679043,0.000371
131.779743,0.000258
134.880443,0.000226
137.981143,0.000210
141.081842,0.000081
144.182542,0.000210
147.283242,0.000210
150.383942,0.000145
153.484642,0.000113
156.585342,0.000161
159.686041,0.000161
162.786741,0.000145
165.887441,0.000129
168.988141,0.000065
172.088841,0.000081
175.189541,0.000081
178.290240,0.000081
181.390940,0.000016
184.491640,0.000048
187.592340,0.000081
190.693040,0.000048
193.793740,0.000000
196.894439,0.000065
199.995139,0.000032
203.095839,0.000016
206.196539,0.000065
209.297239,0.000032
212.397939,0.000016
215.498638,0.000032
218.599338,0.000032
221.700038,0.000032
224.800738,0.000016
227.901438,0.000016
231.002138,0.000016
234.102837,0.000016
237.203537,0.000000
240.304237,0.000016
243.404937,0.000065
246.505637,0.000016
249.606337,0.000000
252.707036,0.000016
255.807736,0.000000
258.908436,0.000000
262.009136,0.000000
265.109836,0.000000
268.210535,0.000016
271.311235,0.000000
274.411935,0.000000
277.512635,0.000000
280.613335,0.000016
283.714035,0.000000
286.814734,0.000000
289.915434,0.000000
293.016134,0.000000
296.116834,0.000000
299.217534,0.000000
302.318234,0.000000
305.418933,0.000000
308.519633,0.000016
