time_s,temperature_K
0.00000000,11655.36502567
0.00000001,11423.45754316
0.00000002,11218.59995454
0.00000003,11065.00389753
0.00000004,11030.58834857
0.00000005,11170.03950501
0.00000006,11559.45491034
0.00000007,12247.09422415
0.00000008,13286.85807236
0.00000009,14798.32398597
0.00000010,16728.41714371
0.00000011,19232.97515387
0.00000012,22021.08578834
0.00000013,25397.01442953
0.00000014,29033.58977072
0.00000015,33240.04138774
0.00000016,37482.53738450
0.00000017,41904.96129522
0.00000018,46544.87497068
0.00000019,51208.53789714
0.00000020,56168.08676494
0.00000021,60497.19212361
0.00000022,65156.49345065
0.00000023,69453.09287718
0.00000024,73172.42072674
0.00000025,77003.15373455
0.00000026,80381.05931372
0.00000027,83205.77345939
0.00000028,85786.09555864
0.00000029,87916.79189081
0.00000030,90571.69229804
0.00000031,92259.27735451
0.00000032,93900.18730502
0.00000033,95352.82984461
0.00000034,97162.49305717
0.00000035,98261.72325044
0.00000036,99106.42224248
0.00000037,100209.64488702
0.00000038,101164.10903971
0.00000039,101728.62834073
0.00000040,102460.51406363
0.00000041,102906.73896460
0.00000042,103408.33273179
0.00000043,103522.27942670
0.00000044,103768.06992907
0.00000045,103964.64849300
0.00000046,104327.73469585
0.00000047,104109.20899181
0.00000048,104250.56163320
0.00000049,104384.19461858
0.00000050,104378.36823181
0.00000051,104473.56056957
0.00000052,104558.43124436
0.00000053,104313.12786045
0.00000054,104502.07608040
0.00000055,104704.50100534
0.00000056,104462.77850996
0.00000057,104072.72536526
0.00000058,103879.40292384
0.00000059,103783.37508815
0.00000060,103859.57234581
0.00000061,103963.30605244
0.00000062,104075.89754050
0.00000063,103968.51003090
0.00000064,103886.28079971
0.00000065,104389.85035799
0.00000066,104182.52536970
0.00000067,104345.87215157
0.00000068,104499.62713196
0.00000069,104278.91510044
0.00000070,104206.36926027
0.00000071,104065.38765657
0.00000072,103524.04822738
0.00000073,103233.42258645
0.00000074,103243.75693159
0.00000075,103182.77688164
0.00000076,103183.33396882
0.00000077,103454.57238112
0.00000078,103350.74604771
0.00000079,103234.62139105
0.00000080,103038.51214323
0.00000081,102888.03269740
0.00000082,102525.67231329
0.00000083,102685.32843435
0.00000084,102937.35566471
0.00000085,102578.55770012
0.00000086,102834.14297625
0.00000087,102793.92936076
0.00000088,102830.10715144
0.00000089,103070.18176730
0.00000090,103154.65542597
0.00000091,103216.45700478
0.00000092,103183.21500951
0.00000093,103469.43144908
0.00000094,103766.45304892
0.00000095,104081.31512091
0.00000096,103367.08346918
0.00000097,103084.66984722
0.00000098,103208.35785054
0.00000099,103169.44867617
0.00000100,103238.37598741
0.00000101,102816.27896005
0.00000102,102497.50312571
0.00000103,102286.74136108
0.00000104,102150.42725572
0.00000105,102589.36690958
0.00000106,102817.00839706
0.00000107,102918.47108016
0.00000108,103320.32711468
0.00000109,103593.23773916
0.00000110,103543.36876479
0.00000111,103027.47124074
0.00000112,102712.57013539
0.00000113,102481.35524672
0.00000114,102677.93023737
0.00000115,102460.35083292
0.00000116,102490.21735706
0.00000117,102302.02758307
0.00000118,102563.33829297
0.00000119,102298.42624697
0.00000120,102426.93996323
0.00000121,103044.28443550
0.00000122,103089.12318535
0.00000123,102636.90543641
0.00000124,103101.74037617
0.00000125,103414.70199606
0.00000126,103279.14540527
0.00000127,103499.21310157
0.00000128,103793.99314820
0.00000129,103654.09897440
0.00000130,103715.28247738
0.00000131,103844.84036486
0.00000132,103505.49040784
0.00000133,103405.13183105
0.00000134,103133.48789188
0.00000135,103307.10296811
0.00000136,103430.90134061
0.00000137,103970.77291032
0.00000138,103810.41142083
0.00000139,104074.11011553
0.00000140,104257.13885782
0.00000141,104565.27407387
0.00000142,104311.04658381
0.00000143,104193.44230537
0.00000144,103925.73294680
0.00000145,103723.91895498
0.00000146,103526.66813530
0.00000147,104028.16308071
0.00000148,103902.27541998
0.00000149,104178.95387743
0.00000150,104220.71334355
0.00000151,104294.15379654
0.00000152,104683.17194159
0.00000153,104187.57979551
0.00000154,104555.51845957
0.00000155,104434.37801152
0.00000156,103986.39475851
0.00000157,103939.66321908
0.00000158,104161.64212346
0.00000159,103742.61308451
0.00000160,104277.98867836
0.00000161,104386.74673470
0.00000162,104425.14557369
0.00000163,104404.80093754
0.00000164,104134.98760252
0.00000165,104359.92191224
0.00000166,104064.43591802
0.00000167,104215.38187681
0.00000168,104259.16586656
0.00000169,104022.02670727
0.00000170,103990.14893295
0.00000171,103685.96362528
0.00000172,104052.02932118
0.00000173,103900.96251508
0.00000174,103939.93678835
0.00000175,104216.19170502
0.00000176,104194.16082169
0.00000177,104446.47026097
0.00000178,104336.72317788
0.00000179,104281.10156729
0.00000180,103984.77356810
0.00000181,104028.26265816
0.00000182,103549.75266540
0.00000183,103663.90948116
0.00000184,103794.24349140
0.00000185,103998.95350801
0.00000186,103699.23913814
0.00000187,103568.59249385
0.00000188,103710.09823285
0.00000189,103552.63286550
0.00000190,103334.14618895
0.00000191,103395.41622864
0.00000192,103593.64567082
0.00000193,103208.95378955
0.00000194,103662.28656453
0.00000195,103772.00710884
0.00000196,103847.18852542
0.00000197,103953.13734936
0.00000198,103773.14990924
0.00000199,103874.59916040
0.00000200,104323.54947997
