time_s,vx_mean,vy_mean,vz_mean
0.00000000,-18.03508134,-38.33066995,-55.85640073
0.00000001,-19.91560486,-37.40541306,-55.85640073
0.00000002,-21.75014706,-36.37540111,-55.85640073
0.00000003,-23.53668771,-35.24243751,-55.85640073
0.00000004,-25.27320866,-34.00788481,-55.85640073
0.00000005,-26.95761373,-32.67267053,-55.85640073
0.00000006,-28.58764853,-31.23730032,-55.85640073
0.00000007,-30.16082047,-29.70187848,-55.85640073
0.00000008,-31.67431908,-28.06613627,-55.85640073
0.00000009,-33.12493705,-26.32946822,-55.85640073
0.00000010,-34.50899212,-24.49097692,-55.85640073
0.00000011,-35.82225047,-22.54952665,-55.85640073
0.00000012,-37.05985180,-20.50380649,-55.85640073
0.00000013,-38.21623702,-18.35240345,-55.85640073
0.00000014,-39.28507898,-16.09388630,-55.85640073
0.00000015,-40.25921738,-13.72690089,-55.85640073
0.00000016,-41.13059887,-11.25027761,-55.85640073
0.00000017,-41.89022374,-8.66315186,-55.85640073
0.00000018,-42.52810076,-5.96509833,-55.85640073
0.00000019,-43.03321237,-3.15627976,-55.85640073
0.00000020,-43.39349226,-0.23761087,-55.85640073
0.00000021,-43.59581859,2.78906212,-55.85640073
0.00000022,-43.62602573,5.92076610,-55.85640073
0.00000023,-43.46893871,9.15319027,-55.85640073
0.00000024,-43.10843462,12.48046046,-55.85640073
0.00000025,-42.52753597,15.89490031,-55.85640073
0.00000026,-41.70854150,19.38678185,-55.85640073
0.00000027,-40.63320037,22.94406934,-55.85640073
0.00000028,-39.28293580,26.55216168,-55.85640073
0.00000029,-37.63912436,30.19364101,-55.85640073
0.00000030,-35.68343632,33.84803676,-55.85640073
0.00000031,-33.39824186,37.49161737,-55.85640073
0.00000032,-30.76708571,41.09722435,-55.85640073
0.00000033,-27.77523026,44.63416611,-55.85640073
0.00000034,-24.41026328,48.06819123,-55.85640073
0.00000035,-20.66276118,51.36156297,-55.85640073
0.00000036,-16.52699241,54.47325713,-55.85640073
0.00000037,-12.00163761,57.35930469,-55.85640073
0.00000038,-7.09049505,59.97329707,-55.85640073
0.00000039,-1.80313037,62.26706541,-55.85640073
0.00000040,3.84457816,64.19153495,-55.85640073
0.00000041,9.83005394,65.69774101,-55.85640073
0.00000042,16.12385336,66.73797429,-55.85640073
0.00000043,22.68976739,67.26700089,-55.85640073
