energy_eV,pdf
1.002970,0.029986
3.008910,0.038934
5.014849,0.040704
7.020789,0.038386
9.026729,0.034398
11.032669,0.031581
13.038608,0.032329
15.044548,0.027792
17.050488,0.023555
19.056427,0.021237
21.062367,0.018470
23.068307,0.017099
25.074247,0.016177
27.080186,0.013335
29.086126,0.013659
31.092066,0.010893
33.098006,0.009646
35.103945,0.008624
37.109885,0.008026
39.115825,0.006705
41.121765,0.006331
43.127704,0.006007
45.133644,0.005110
47.139584,0.005210
49.145523,0.004312
51.151463,0.003888
53.157403,0.002916
55.163343,0.002418
57.169282,0.002567
59.175222,0.002218
61.181162,0.001695
63.187102,0.001446
65.193041,0.001246
67.198981,0.001296
69.204921,0.001545
71.210861,0.001122
73.216800,0.000972
75.222740,0.000523
77.228680,0.000449
79.234619,0.000698
81.240559,0.000872
83.246499,0.000424
85.252439,0.000449
87.258378,0.000374
89.264318,0.000349
91.270258,0.000249
93.276198,0.000274
95.282137,0.000224
97.288077,0.000150
99.294017,0.000224
101.299957,0.000174
103.305896,0.000174
105.311836,0.000050
107.317776,0.000174
109.323715,0.000174
111.329655,0.000075
113.335595,0.000050
115.341535,0.000100
117.347474,0.000075
119.353414,0.000025
121.359354,0.000050
123.365294,0.000000
125.371233,0.000025
127.377173,0.000000
129.383113,0.000025
131.389053,0.000025
133.394992,0.000000
135.400932,0.000000
137.406872,0.000025
139.412811,0.000000
141.418751,0.000025
143.424691,0.000025
145.430631,0.000075
147.436570,0.000025
149.442510,0.000025
151.448450,0.000000
153.454390,0.000000
155.460329,0.000000
157.466269,0.000000
159.472209,0.000000
161.478149,0.000000
163.484088,0.000000
165.490028,0.000000
167.495968,0.000000
169.501907,0.000000
171.507847,0.000000
173.513787,0.000000
175.519727,0.000000
177.525666,0.000000
179.531606,0.000000
181.537546,0.000000
183.543486,0.000000
185.549425,0.000000
187.555365,0.000000
189.561305,0.000000
191.567245,0.000000
193.573184,0.000000
195.579124,0.000000
197.585064,0.000000
199.591004,0.000025
