time_s,vx_mean,vy_mean,vz_mean
0.00000000,-5.70319348,-12.12122213,-17.66334482
0.00000001,8.27786592,-16.12796123,4700.53975949
0.00000002,13.90194830,-21.90725510,9334.85618045
0.00000003,18.47291628,2.45701752,13826.42629410
0.00000004,8.55113803,10.17891600,18177.54379897
0.00000005,28.80985703,-23.19205662,22373.52278785
0.00000006,-8.09293911,-37.12769796,26413.40632603
0.00000007,-40.05352345,-54.26075271,30232.36143394
0.00000008,-30.32716786,-26.31100382,33734.14167000
0.00000009,-45.46617215,-48.42066233,36993.22774101
0.00000010,-8.79610006,-79.32822949,40018.18860346
0.00000011,8.77710245,-68.73083030,42800.45626058
0.00000012,42.34430442,-54.45666189,45304.19200792
0.00000013,73.25191297,14.97721533,47390.34786660
0.00000014,129.90478538,38.15978809,49347.68567014
0.00000015,77.84666788,-54.50148507,51121.80981195
0.00000016,38.97861131,-31.70605299,52607.46138549
0.00000017,70.96981804,-16.92216648,53785.43728522
0.00000018,68.66817930,14.58960074,54658.19758208
0.00000019,99.94024141,12.60923072,55501.81237306
0.00000020,143.05698878,17.66227763,56268.56417972
0.00000021,129.59280200,-43.18130293,56750.86115003
0.00000022,85.31629679,-40.60867492,57208.93297946
0.00000023,91.36130991,36.52228323,57500.61964269
0.00000024,5.04965044,-10.59663216,57650.06247261
0.00000025,30.53508842,1.13191786,57785.54337103
0.00000026,16.21730023,97.83878919,57794.75574292
0.00000027,80.71418637,128.80547207,57740.18779112
0.00000028,11.30413948,41.65206090,57668.07166297
0.00000029,84.62128356,117.29938849,57517.93087553
0.00000030,183.57802504,106.55905632,57400.07221111
0.00000031,215.05552436,151.65464585,57251.44397150
0.00000032,196.39555060,113.77788165,57251.80051502
0.00000033,238.90546740,72.47507298,57189.13739926
0.00000034,77.77416751,168.65237495,57169.49518849
0.00000035,208.63899670,70.99006192,57264.11526985
0.00000036,199.19243060,-23.00749806,56976.14570939
0.00000037,264.99650402,70.80925165,56829.94264677
0.00000038,209.29716587,8.35801928,56761.92155060
0.00000039,107.98614719,-129.74593574,56810.01986737
0.00000040,256.12316394,-217.64873239,56617.09870085
0.00000041,285.32456164,-171.04230494,56445.50434109
0.00000042,200.48742517,-147.67570759,56590.26294092
0.00000043,167.34467670,-82.92965229,56731.44914712
0.00000044,119.93284846,-91.66115600,56767.19903158
0.00000045,239.34006270,-77.55968107,56653.23683035
0.00000046,186.89195931,-71.34890619,56541.56755621
0.00000047,212.60747348,-57.02125189,56614.62441074
0.00000048,202.12175284,-28.70049865,56631.30426172
0.00000049,160.90934674,-12.43862067,56651.47866922
0.00000050,115.68440625,79.92782004,56687.31770647
0.00000051,129.33736176,111.59844266,56620.91236264
0.00000052,42.32143058,131.12730892,56460.19325998
0.00000053,22.14869000,106.83400324,56352.18513795
0.00000054,154.67394453,0.71054915,56371.82484751
0.00000055,102.90203630,57.23298836,56516.83447203
0.00000056,1.35816613,157.13042002,56662.42451390
0.00000057,58.50732241,80.08060400,56616.96235095
0.00000058,113.33347634,239.97101530,56441.27395713
0.00000059,142.43709858,223.84923624,56382.38479071
