energy_eV,pdf
1.754117,0.019340
5.262351,0.025654
8.770585,0.025811
12.278818,0.023915
15.787052,0.021450
19.295286,0.020338
22.803520,0.017972
26.311754,0.015022
29.819988,0.013711
33.328222,0.013069
36.836455,0.010490
40.344689,0.009663
43.852923,0.007981
47.361157,0.007853
50.869391,0.007012
54.377625,0.005159
57.885859,0.005231
61.394092,0.003791
64.902326,0.004005
68.410560,0.003093
71.918794,0.003135
75.427028,0.002808
78.935262,0.002238
82.443495,0.002038
85.951729,0.001981
89.459963,0.001411
92.968197,0.001397
96.476431,0.001154
99.984665,0.000969
103.492899,0.000812
107.001132,0.000841
110.509366,0.000770
114.017600,0.000627
117.525834,0.000428
121.034068,0.000356
124.542302,0.000257
128.050536,0.000385
131.558769,0.000299
135.067003,0.000299
138.575237,0.000257
142.083471,0.000242
145.591705,0.000143
149.099939,0.000100
152.608173,0.000157
156.116406,0.000086
159.624640,0.000214
163.132874,0.000143
166.641108,0.000128
170.149342,0.000057
173.657576,0.000014
177.165809,0.000043
180.674043,0.000057
184.182277,0.000100
187.690511,0.000029
191.198745,0.000043
194.706979,0.000029
198.215213,0.000043
201.723446,0.000029
205.231680,0.000071
208.739914,0.000086
212.248148,0.000014
215.756382,0.000000
219.264616,0.000014
222.772850,0.000029
226.281083,0.000014
229.789317,0.000029
233.297551,0.000014
236.805785,0.000000
240.314019,0.000000
243.822253,0.000014
247.330486,0.000029
250.838720,0.000000
254.346954,0.000000
257.855188,0.000000
261.363422,0.000014
264.871656,0.000000
268.379890,0.000000
271.888123,0.000000
275.396357,0.000000
278.904591,0.000000
282.412825,0.000000
285.921059,0.000000
289.429293,0.000000
292.937527,0.000000
296.445760,0.000000
299.953994,0.000000
303.462228,0.000000
306.970462,0.000000
310.478696,0.000000
313.986930,0.000014
317.495163,0.000000
321.003397,0.000000
324.511631,0.000000
328.019865,0.000014
331.528099,0.000000
335.036333,0.000000
338.544567,0.000000
342.052800,0.000000
345.561034,0.000000
349.069268,0.000014
