time_s,temperature_K
0.00000000,11655.36502567
0.00000001,11411.74503592
0.00000002,11208.24426972
0.00000003,11050.25728845
0.00000004,11027.41705650
0.00000005,11137.66199729
0.00000006,11485.39335370
0.00000007,12120.02034662
0.00000008,13190.81719341
0.00000009,14694.38828570
0.00000010,16603.55557811
0.00000011,18938.10541245
0.00000012,21728.73425562
0.00000013,25214.48386506
0.00000014,28819.45371753
0.00000015,32796.54738347
0.00000016,37044.77940097
0.00000017,41649.27257281
0.00000018,46542.27156470
0.00000019,51225.57512752
0.00000020,55670.93391920
0.00000021,60347.83959266
0.00000022,64888.34584321
0.00000023,69105.31918641
0.00000024,73003.55949231
0.00000025,76617.17365583
0.00000026,80055.90158090
0.00000027,83261.74591409
0.00000028,85693.08734707
0.00000029,88452.22832357
0.00000030,90554.05988020
0.00000031,92485.44774788
0.00000032,93866.06782244
0.00000033,95485.50333958
0.00000034,96695.06144030
0.00000035,97620.11756699
0.00000036,98594.36043531
0.00000037,99888.83988925
0.00000038,100342.66536780
0.00000039,101006.42782617
0.00000040,101078.85835744
0.00000041,101348.49786206
0.00000042,101541.36667053
0.00000043,102032.26620706
0.00000044,102389.49000368
0.00000045,102866.55148216
0.00000046,102989.59251620
0.00000047,103243.45936633
0.00000048,103528.22298697
0.00000049,103908.77296236
0.00000050,103880.28469976
0.00000051,104135.97785215
0.00000052,104147.64118538
0.00000053,104023.07169542
0.00000054,103482.32903478
0.00000055,103152.39760599
0.00000056,103211.35054453
0.00000057,103859.68789673
0.00000058,104574.08182958
0.00000059,104548.46969995
0.00000060,104757.39948685
0.00000061,104882.20944425
0.00000062,104443.06115620
0.00000063,104402.41870089
0.00000064,104241.98737564
0.00000065,104192.37226689
0.00000066,104033.80986637
0.00000067,103527.37383189
0.00000068,103518.97639711
0.00000069,103366.69154984
0.00000070,103156.50962214
0.00000071,103419.40198167
0.00000072,103377.69536992
0.00000073,103194.65210817
0.00000074,102960.76140745
0.00000075,102846.80769588
0.00000076,102814.01220784
0.00000077,102835.14099327
0.00000078,102645.15937254
0.00000079,102739.77089681
0.00000080,102786.62708681
0.00000081,103193.46626992
0.00000082,103601.63107537
0.00000083,103841.19137779
0.00000084,104013.18269551
0.00000085,104128.55973577
0.00000086,104273.40405604
0.00000087,104336.29731605
0.00000088,104017.58475462
0.00000089,103917.77668986
0.00000090,103664.92456635
0.00000091,103391.21352288
0.00000092,103277.73014673
0.00000093,103512.39015615
0.00000094,103852.22428414
0.00000095,104094.68163981
0.00000096,104004.95890559
0.00000097,104257.63657886
0.00000098,103725.84606127
0.00000099,103956.49375119
0.00000100,104347.89463132
0.00000101,104196.74252241
0.00000102,104305.43567878
0.00000103,104350.89161844
0.00000104,104256.53633521
0.00000105,104098.94578945
0.00000106,103691.48221411
0.00000107,103910.84782984
0.00000108,103724.22274387
0.00000109,103960.39430611
0.00000110,104155.08702883
0.00000111,104167.96253594
0.00000112,104226.65761346
0.00000113,104142.97591298
0.00000114,104516.49829032
0.00000115,104157.24008725
0.00000116,104010.08615963
0.00000117,104310.66495162
0.00000118,104335.31514047
0.00000119,104303.36091147
0.00000120,104453.67623474
0.00000121,104288.82190392
0.00000122,103899.34272107
0.00000123,103965.43095893
0.00000124,104088.89006380
0.00000125,104058.55471411
0.00000126,103957.34825376
0.00000127,104285.36359646
0.00000128,104451.02144292
0.00000129,104382.81304874
0.00000130,104151.25461737
0.00000131,103873.78750704
0.00000132,104186.66779573
0.00000133,104645.43053772
0.00000134,104623.56794949
0.00000135,104537.10289956
0.00000136,103985.69477021
0.00000137,104183.97205052
0.00000138,103753.08300204
0.00000139,104082.42884387
0.00000140,104466.80045377
0.00000141,104664.51491546
0.00000142,104419.94441896
0.00000143,104827.66550946
0.00000144,105237.57507517
0.00000145,104772.58724813
0.00000146,104424.88515806
0.00000147,104158.44040510
0.00000148,104336.55354529
0.00000149,104153.67096424
0.00000150,103958.81623554
0.00000151,103875.53375154
0.00000152,103459.11673703
0.00000153,103241.24871020
0.00000154,103000.62953942
0.00000155,103175.59711446
0.00000156,103511.45526498
0.00000157,103204.14404859
0.00000158,103352.63413220
0.00000159,103174.28664871
0.00000160,103199.77680296
0.00000161,103385.72930289
0.00000162,103518.01662485
0.00000163,103393.41545427
0.00000164,103346.51810515
0.00000165,103651.08178942
0.00000166,103601.53914792
0.00000167,103373.29788206
0.00000168,103525.97490947
0.00000169,103810.51353181
0.00000170,103436.73986371
0.00000171,103247.18772542
0.00000172,103434.32736462
0.00000173,103538.75881866
0.00000174,103727.22094110
0.00000175,103427.69602335
0.00000176,103759.15675532
0.00000177,103930.44027238
0.00000178,104021.10971998
0.00000179,104066.27596600
0.00000180,104348.83089331
0.00000181,104154.43473342
0.00000182,104425.70173779
0.00000183,104551.30551169
0.00000184,104756.61166433
0.00000185,104546.77804379
0.00000186,104384.97353130
0.00000187,104180.26611054
0.00000188,104145.48297040
0.00000189,104138.05185146
0.00000190,104012.08392726
0.00000191,104063.77062575
0.00000192,103884.79639425
0.00000193,104102.48572025
0.00000194,104512.61206309
0.00000195,104310.55604144
0.00000196,104446.98144945
0.00000197,104404.12276881
0.00000198,104303.48441973
0.00000199,104321.57063119
0.00000200,104306.74270095
