time_s,vx_mean,vy_mean,vz_mean
0.00000000,-5.70319348,-12.12122213,-17.66334482
0.00000001,-232.62305051,-2.93286630,4699.67673457
0.00000002,-901.69427267,-14.53991006,9268.63592170
0.00000003,-1953.91316262,-3.98962089,13628.21934612
0.00000004,-3375.73391508,18.37248353,17752.81102274
0.00000005,-5131.46594082,17.49496678,21538.91376262
0.00000006,-7196.28381662,35.85370042,25013.84898731
0.00000007,-9467.13972998,57.24354846,28044.41126775
0.00000008,-11891.59251459,36.32045011,30618.63174484
0.00000009,-14391.26539336,29.81624255,32840.05139580
0.00000010,-16978.82938147,-5.90335079,34693.45026399
0.00000011,-19543.50664533,-33.47527299,36068.29334311
0.00000012,-22021.90330923,-26.96999158,37043.64422552
0.00000013,-24296.44362642,-54.17558486,37507.09049676
0.00000014,-26404.56224781,-26.33395031,37783.61350835
0.00000015,-28459.10173444,-54.40887845,37825.44670517
0.00000016,-30325.39865457,18.37015672,37616.09986247
0.00000017,-32003.45383731,-33.46642105,37180.49415920
0.00000018,-33523.58732260,0.12001743,36615.03004858
0.00000019,-34788.31535560,-10.53759302,35828.33807708
0.00000020,-35740.17047716,4.26379490,34844.92771909
0.00000021,-36484.52348897,37.56691668,33926.51122033
0.00000022,-37183.67936197,26.59733400,32968.67856394
0.00000023,-37602.14794553,15.84129614,32033.23419316
0.00000024,-37903.74104835,-25.19976550,31085.63644888
0.00000025,-38182.52874512,-42.22320713,30186.48540989
0.00000026,-38241.83759429,-74.89319136,29241.31203446
0.00000027,-38496.03041650,-92.96800577,28430.53246291
0.00000028,-38326.86323370,-99.12291929,27687.18922529
0.00000029,-38188.32221677,-63.05224341,27048.74292308
0.00000030,-38045.35687189,-54.87373448,26465.33784463
0.00000031,-37865.33746689,-60.49931902,25791.65653107
0.00000032,-37748.45803598,2.83764757,25325.33673600
0.00000033,-37426.23321511,-117.59777201,24769.41323338
0.00000034,-37173.89179802,-164.88647317,24363.19790512
0.00000035,-36919.53421337,-38.01287096,24091.38817190
0.00000036,-36556.86732630,-27.50577881,23789.04192638
0.00000037,-36226.82632631,41.04724604,23555.07070975
0.00000038,-35979.04230593,35.46291750,23400.58007602
0.00000039,-35848.61779999,-4.34823244,23340.94311049
0.00000040,-35612.66466695,51.46190189,23238.06285757
0.00000041,-35411.20218156,109.95354539,23145.52341762
0.00000042,-35251.67535432,-15.79775103,23106.49502026
0.00000043,-35046.33693999,-36.88802091,23086.56622853
0.00000044,-34879.63084923,-21.44443662,23173.37527380
0.00000045,-34713.53830410,20.06027872,23215.64762437
0.00000046,-34649.03070211,10.03455714,23299.33923310
0.00000047,-34489.08309637,-43.71841042,23328.86826037
0.00000048,-34375.66277039,-67.94467115,23381.23912997
0.00000049,-34313.90543774,-73.24879366,23453.80408450
0.00000050,-34275.83082350,-33.14223466,23475.06030704
0.00000051,-34387.23447317,-64.13913980,23575.13230279
0.00000052,-34278.26711450,-35.40361377,23606.28204395
0.00000053,-34321.41081614,51.22267083,23710.92510058
0.00000054,-34320.67787346,110.15120586,23682.71228081
0.00000055,-34294.51239806,109.34819896,23704.41808721
0.00000056,-34395.87971520,169.37092247,23802.95700542
0.00000057,-34358.40635009,201.00513134,23885.48748449
0.00000058,-34370.66989812,244.40465286,23829.52805922
0.00000059,-34374.45521558,201.86679790,23838.93187849
0.00000060,-34250.44486518,205.00210688,23892.94561206
0.00000061,-34260.35496745,119.10673133,23997.00149386
0.00000062,-34290.28921838,9.40019699,23909.30267973
0.00000063,-34355.95970288,-46.91280691,23873.64401029
0.00000064,-34316.37516415,0.09419654,23838.90435574
0.00000065,-34319.50012196,-33.04816472,23819.24102393
0.00000066,-34324.10142396,-63.84425680,23826.89393071
0.00000067,-34310.38205598,2.41374626,23886.82068370
0.00000068,-34510.38582986,65.72372344,23938.09338533
0.00000069,-34465.25402603,85.17210336,23946.19915015
0.00000070,-34492.45353806,74.73981523,24054.84661531
0.00000071,-34594.02656488,74.71925308,24152.53576878
0.00000072,-34607.60011200,62.48519822,24095.57207324
0.00000073,-34652.42997740,-44.55553278,24140.41050368
0.00000074,-34739.79530360,-60.36615258,24181.04490844
0.00000075,-34796.87703670,-120.07168115,24219.72702266
0.00000076,-34828.69023245,-129.91299829,24140.12782435
0.00000077,-34864.58238977,-75.98892786,24105.01176699
0.00000078,-34852.37542187,-132.42558737,23994.23208435
0.00000079,-34714.73233967,-71.82801154,24054.54956788
0.00000080,-34744.79687234,-111.11988970,24085.41128919
0.00000081,-34672.60397059,-77.99783412,24103.01095808
0.00000082,-34693.37788418,-76.69063574,24101.94479803
0.00000083,-34797.86129526,-121.39386737,24187.38625907
