energy_eV,pdf
0.537032,0.028564
1.611097,0.037651
2.685161,0.039160
3.759226,0.041022
4.833290,0.040165
5.907355,0.040016
6.981420,0.037987
8.055484,0.037893
9.129549,0.035938
10.203613,0.034747
11.277678,0.033350
12.351742,0.032847
13.425807,0.030836
14.499871,0.029849
15.573936,0.027317
16.648000,0.024766
17.722065,0.024691
18.796129,0.025287
19.870194,0.022773
20.944259,0.020669
22.018323,0.020315
23.092388,0.019254
24.166452,0.018155
25.240517,0.017262
26.314581,0.016163
27.388646,0.013817
28.462710,0.013947
29.536775,0.012886
30.610839,0.013146
31.684904,0.010986
32.758968,0.010670
33.833033,0.009497
34.907098,0.008491
35.981162,0.008566
37.055227,0.007746
38.129291,0.006946
39.203356,0.007095
40.277420,0.006424
41.351485,0.005810
42.425549,0.005288
43.499614,0.005586
44.573678,0.004767
45.647743,0.003724
46.721807,0.003538
47.795872,0.003761
48.869937,0.003445
49.944001,0.003072
51.018066,0.002737
52.092130,0.002309
53.166195,0.002235
54.240259,0.002197
55.314324,0.001843
56.388388,0.001713
57.462453,0.001359
58.536517,0.001564
59.610582,0.001061
60.684646,0.000912
61.758711,0.000708
62.832776,0.000726
63.906840,0.000838
64.980905,0.000596
66.054969,0.000521
67.129034,0.000521
68.203098,0.000261
69.277163,0.000354
70.351227,0.000372
71.425292,0.000298
72.499356,0.000428
73.573421,0.000242
74.647485,0.000186
75.721550,0.000130
76.795615,0.000093
77.869679,0.000149
78.943744,0.000074
80.017808,0.000130
81.091873,0.000093
82.165937,0.000074
83.240002,0.000056
84.314066,0.000074
85.388131,0.000056
86.462195,0.000019
87.536260,0.000037
88.610324,0.000000
89.684389,0.000037
90.758454,0.000019
91.832518,0.000019
92.906583,0.000019
93.980647,0.000037
95.054712,0.000000
96.128776,0.000000
97.202841,0.000000
98.276905,0.000000
99.350970,0.000000
100.425034,0.000019
101.499099,0.000000
102.573163,0.000000
103.647228,0.000019
104.721293,0.000000
105.795357,0.000000
106.869422,0.000019
