time_s,temperature_K
0.00000000,11655.36502567
0.00000001,11436.62210603
0.00000002,11214.92657975
0.00000003,11067.50879398
0.00000004,11016.24239703
0.00000005,11134.71603331
0.00000006,11485.58695939
0.00000007,12080.43214076
0.00000008,13074.56941225
0.00000009,14390.76501778
0.00000010,16012.36738281
0.00000011,18085.84655600
0.00000012,20566.45096964
0.00000013,23571.65332536
0.00000014,26630.35819568
0.00000015,29838.46466058
0.00000016,33072.52648755
0.00000017,36466.49266051
0.00000018,39797.56277365
0.00000019,43294.22015370
0.00000020,46681.51444530
0.00000021,49857.07224354
0.00000022,52746.05918233
0.00000023,55484.97264385
0.00000024,57657.84397031
0.00000025,59617.95754882
0.00000026,61413.26322422
0.00000027,62936.57843339
0.00000028,64134.67807929
0.00000029,65050.84203289
0.00000030,65997.57947574
0.00000031,66715.57297935
0.00000032,67009.77970460
0.00000033,67331.75692641
0.00000034,67431.53359521
0.00000035,67324.03180286
0.00000036,67356.38139801
0.00000037,67266.48838405
0.00000038,66882.44765402
0.00000039,66686.65892332
0.00000040,66476.56978176
0.00000041,66149.11850613
0.00000042,65809.89128599
0.00000043,65519.34434824
0.00000044,65111.86879070
0.00000045,64788.38894516
0.00000046,64455.41890307
0.00000047,64230.73332175
0.00000048,63835.51517939
0.00000049,63641.79605276
0.00000050,63492.40879681
0.00000051,63212.95935108
0.00000052,62942.95520960
0.00000053,62884.30362740
0.00000054,62515.42441892
0.00000055,62292.80098193
0.00000056,61937.50282413
0.00000057,61721.61833266
0.00000058,61771.46706218
0.00000059,61713.00160487
0.00000060,61671.00559509
0.00000061,61450.09222936
0.00000062,61352.27101710
0.00000063,61488.43710165
0.00000064,61350.97927366
0.00000065,61432.90715452
0.00000066,61316.66195585
0.00000067,61257.54957438
0.00000068,61126.36835568
0.00000069,61131.04076429
0.00000070,61110.04935972
0.00000071,61167.40449613
0.00000072,61270.71120675
0.00000073,61370.90518098
0.00000074,61586.95355547
0.00000075,61707.23021193
0.00000076,61894.87384992
0.00000077,61915.32432339
0.00000078,61837.70794934
0.00000079,61881.35387946
0.00000080,61864.22110129
0.00000081,61784.96593758
0.00000082,61891.78765948
0.00000083,61964.64808791
0.00000084,62034.82324553
0.00000085,61783.86448111
0.00000086,61770.05746026
0.00000087,61785.21769039
0.00000088,61693.18973668
0.00000089,61451.97372512
0.00000090,61433.67033948
0.00000091,61471.64035897
0.00000092,61652.64143780
0.00000093,61659.36729642
0.00000094,61569.30816384
0.00000095,61703.07528998
0.00000096,61601.46950208
0.00000097,61596.38617824
0.00000098,61471.01049997
0.00000099,61597.84084613
0.00000100,61573.79498654
0.00000101,61495.33053931
0.00000102,61561.41218637
0.00000103,61414.22524958
0.00000104,61437.71800772
0.00000105,61383.51613656
0.00000106,61192.61101023
0.00000107,61163.18226309
0.00000108,61019.51057792
0.00000109,61288.27328894
0.00000110,61292.82964622
0.00000111,61259.77712917
0.00000112,61491.61506711
0.00000113,61557.44024307
0.00000114,61536.01115610
0.00000115,61695.38903984
0.00000116,61811.79305369
0.00000117,61776.84561666
0.00000118,61905.67305934
0.00000119,61795.49873389
0.00000120,61666.42895274
0.00000121,61631.87552574
0.00000122,61638.94019656
0.00000123,61634.82883035
0.00000124,61661.06210446
0.00000125,61570.69450018
0.00000126,61655.74440462
0.00000127,61976.23167763
0.00000128,61877.66295343
0.00000129,61776.28113988
0.00000130,61852.96101187
0.00000131,61982.66254711
0.00000132,62018.37120220
0.00000133,61962.19953654
0.00000134,61898.12621860
0.00000135,61805.33157110
0.00000136,61982.61160709
0.00000137,61984.48199556
0.00000138,62050.10480249
0.00000139,62054.26684015
0.00000140,61966.09017731
0.00000141,61929.44002039
0.00000142,61855.95356189
0.00000143,61857.18518672
0.00000144,61918.90938011
0.00000145,61847.73147530
0.00000146,61852.69753957
0.00000147,61870.48048454
0.00000148,61758.23752240
0.00000149,61687.77238372
0.00000150,61511.54849086
0.00000151,61548.62965988
0.00000152,61562.75968888
0.00000153,61479.33311711
0.00000154,61516.44062092
0.00000155,61367.60930881
0.00000156,61312.09713227
0.00000157,61479.52632099
0.00000158,61532.21224461
0.00000159,61561.18199506
0.00000160,61535.11152377
0.00000161,61424.94578926
0.00000162,61441.73971746
0.00000163,61346.54592916
0.00000164,61259.79006392
0.00000165,61148.42241212
0.00000166,61127.76778556
0.00000167,61290.05137577
0.00000168,61340.43733803
0.00000169,61353.60921577
0.00000170,61491.35009129
0.00000171,61606.34025863
0.00000172,61524.24191546
0.00000173,61685.54279581
0.00000174,61583.85276667
0.00000175,61527.71788545
0.00000176,61583.71836072
0.00000177,61548.02245340
0.00000178,61579.41939186
0.00000179,61756.30324894
0.00000180,61803.49689518
0.00000181,61881.07051629
0.00000182,61633.67892150
0.00000183,61551.81172337
0.00000184,61575.00873529
0.00000185,61684.23090242
0.00000186,61736.06637630
0.00000187,61682.42618481
0.00000188,61691.60510009
0.00000189,61685.46251137
0.00000190,61772.36754184
0.00000191,61587.64083037
0.00000192,61566.13338619
0.00000193,61659.60717339
0.00000194,61640.03715120
0.00000195,61667.34220313
0.00000196,61640.16266033
0.00000197,61545.10118464
0.00000198,61596.33280202
0.00000199,61483.44451786
0.00000200,61645.85047179
